URL,Question,Option A,Option B,Option C,Option D,GT,Prompt,answer
https://attack.mitre.org/techniques/T1595/003,"According to the provided information, which data source can be used to detect suspicious network traffic associated with the ""Iterative Network Scanning"" technique?",System logs,Network traffic,Endpoint security events,Web server logs,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the provided information, which data source can be used to detect suspicious network traffic associated with the ""Iterative Network Scanning"" technique?   Options:  A) System logs  B) Network traffic  C) Endpoint security events  D) Web server logs  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", B
https://attack.mitre.org/techniques/T1592,"Which MITRE ATT&CK technique, within the Enterprise platform, involves adversaries compromising websites to embed malicious content designed to collect host information?",T1595,T1592,T1597,T1594,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK technique, within the Enterprise platform, involves adversaries compromising websites to embed malicious content designed to collect host information?   Options:  A) T1595  B) T1592  C) T1597  D) T1594  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592,"According to the MITRE ATT&CK framework, what is the primary mitigation strategy for the T1056 technique, ""Data from External Sources""?",Proactive threat intelligence,Network segmentation,User education and awareness,Data minimization and access control,D,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the MITRE ATT&CK framework, what is the primary mitigation strategy for the T1056 technique, ""Data from External Sources""?   Options:  A) Proactive threat intelligence  B) Network segmentation  C) User education and awareness  D) Data minimization and access control  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
https://attack.mitre.org/techniques/T1592,"Which data source, as defined in the MITRE ATT&CK framework, is associated with the detection of internet scanners looking for patterns associated with malicious content designed to collect host information from visitors?",DS0020,DS0035,DS0015,DS0030,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which data source, as defined in the MITRE ATT&CK framework, is associated with the detection of internet scanners looking for patterns associated with malicious content designed to collect host information from visitors?   Options:  A) DS0020  B) DS0035  C) DS0015  D) DS0030  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592,"What MITRE ATT&CK technique, within the Enterprise platform, is typically used to gather information about hosts that may be used for reconnaissance, establishing operational resources, and/or initial access?",T1592.001,T1592.002,T1592.003,T1592.004,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What MITRE ATT&CK technique, within the Enterprise platform, is typically used to gather information about hosts that may be used for reconnaissance, establishing operational resources, and/or initial access?   Options:  A) T1592.001  B) T1592.002  C) T1592.003  D) T1592.004  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592,"Which MITRE ATT&CK tactic, within the Enterprise platform, encompasses the adversary actions described in the provided text, such as gathering information about hosts, compromising websites, and using social media for reconnaissance?",Reconnaissance,Resource Development,Initial Access,Command and Control,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK tactic, within the Enterprise platform, encompasses the adversary actions described in the provided text, such as gathering information about hosts, compromising websites, and using social media for reconnaissance?   Options:  A) Reconnaissance  B) Resource Development  C) Initial Access  D) Command and Control  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/001,"What MITRE ATT&CK technique is described as a method for gathering information about victim's hardware infrastructure, potentially revealing opportunities for further reconnaissance and initial access?",T1592 -  Obtain Capabilities,T1592 -  Develop Capabilities,T1597 -  Search Open Technical Databases,T1592 -  Compromise Hardware Supply Chain,D,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What MITRE ATT&CK technique is described as a method for gathering information about victim's hardware infrastructure, potentially revealing opportunities for further reconnaissance and initial access?   Options:  A) T1592 -  Obtain Capabilities  B) T1592 -  Develop Capabilities  C) T1597 -  Search Open Technical Databases  D) T1592 -  Compromise Hardware Supply Chain  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/001,"Based on the provided text, what is the most challenging aspect of mitigating the described technique, according to MITRE ATT&CK?",The technique requires physical access to the target network.,It involves exploiting vulnerabilities in specific software applications.,The adversary's actions may occur outside the scope of enterprise defenses and controls.,It relies on social engineering tactics to trick users into revealing sensitive information.,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Based on the provided text, what is the most challenging aspect of mitigating the described technique, according to MITRE ATT&CK?   Options:  A) The technique requires physical access to the target network.  B) It involves exploiting vulnerabilities in specific software applications.  C) The adversary's actions may occur outside the scope of enterprise defenses and controls.  D) It relies on social engineering tactics to trick users into revealing sensitive information.  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", C
https://attack.mitre.org/techniques/T1592/001,"According to the provided text, which of the following is NOT a potential source of information about the victim's hardware infrastructure?",Job postings,Network maps,Assessment reports,Firewall logs,D,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the provided text, which of the following is NOT a potential source of information about the victim's hardware infrastructure?   Options:  A) Job postings  B) Network maps  C) Assessment reports  D) Firewall logs  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
https://attack.mitre.org/techniques/T1592/001,"Within the context of MITRE ATT&CK Enterprise, which of the following data sources is explicitly mentioned as potentially useful for detecting the described technique?",DS0027 -  Security Audit Logs,DS0005 -  Process Monitoring,DS0035 -  Internet Scan,DS0022 -  Web Server Logs,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Within the context of MITRE ATT&CK Enterprise, which of the following data sources is explicitly mentioned as potentially useful for detecting the described technique?   Options:  A) DS0027 -  Security Audit Logs  B) DS0005 -  Process Monitoring  C) DS0035 -  Internet Scan  D) DS0022 -  Web Server Logs  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/001,What MITRE ATT&CK technique is suggested as a potential follow-on action for adversaries who have successfully gathered information about the victim's hardware infrastructure?,T1598 -  Steal or Forge Credentials,T1597 -  Search Open Technical Databases,T1593 -  Exfiltrate Data,T1595 -  Lateral Movement,B,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: What MITRE ATT&CK technique is suggested as a potential follow-on action for adversaries who have successfully gathered information about the victim's hardware infrastructure?   Options:  A) T1598 -  Steal or Forge Credentials  B) T1597 -  Search Open Technical Databases  C) T1593 -  Exfiltrate Data  D) T1595 -  Lateral Movement  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", B
https://attack.mitre.org/techniques/T1592/002,"Which MITRE ATT&CK technique, identified as 'G0059', describes the adversary's use of phishing sites to capture user-agent strings?",Magic Hound,Andariel,Sandworm Team,Supply Chain Compromise,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK technique, identified as 'G0059', describes the adversary's use of phishing sites to capture user-agent strings?   Options:  A) Magic Hound  B) Andariel  C) Sandworm Team  D) Supply Chain Compromise  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/002,The document mentions that adversaries can use various methods to gather information about victim software. Which of these is NOT mentioned as a technique used by adversaries for collecting software information?,Active Scanning,Phishing for Information,Compromising websites to include malicious content,Software vulnerabilities exploitation,D,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: The document mentions that adversaries can use various methods to gather information about victim software. Which of these is NOT mentioned as a technique used by adversaries for collecting software information?   Options:  A) Active Scanning  B) Phishing for Information  C) Compromising websites to include malicious content  D) Software vulnerabilities exploitation  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/002,"In the context of MITRE ATT&CK, which technique ID corresponds to the adversary's tactic of researching software code to enable supply-chain operations, as exemplified by the Sandworm Team's involvement in the 2017 NotPetya attack?",G0138,G0059,G0034,M1056,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: In the context of MITRE ATT&CK, which technique ID corresponds to the adversary's tactic of researching software code to enable supply-chain operations, as exemplified by the Sandworm Team's involvement in the 2017 NotPetya attack?   Options:  A) G0138  B) G0059  C) G0034  D) M1056  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/002,Which MITRE ATT&CK mitigation strategy is specifically mentioned in the document as being ineffective against the adversary's tactic of gathering software information?,Pre-compromise,Post-compromise,Endpoint Detection and Response (EDR),Network Segmentation,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK mitigation strategy is specifically mentioned in the document as being ineffective against the adversary's tactic of gathering software information?   Options:  A) Pre-compromise  B) Post-compromise  C) Endpoint Detection and Response (EDR)  D) Network Segmentation  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
https://attack.mitre.org/techniques/T1592/002,"Based on the information presented, what is the primary objective of using Internet Scan (DS0035) as a data source in the context of MITRE ATT&CK?",To collect data from open websites and domains,To identify and collect software information from compromised sites,To detect malicious scripts designed to gather information from visitors,To monitor network traffic for suspicious activities,C,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Based on the information presented, what is the primary objective of using Internet Scan (DS0035) as a data source in the context of MITRE ATT&CK?   Options:  A) To collect data from open websites and domains  B) To identify and collect software information from compromised sites  C) To detect malicious scripts designed to gather information from visitors  D) To monitor network traffic for suspicious activities  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/004,Which MITRE ATT&CK technique is associated with gathering client configuration information through active scanning and phishing?,T1592,T1595,T1590,T1598,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK technique is associated with gathering client configuration information through active scanning and phishing?   Options:  A) T1592  B) T1595  C) T1590  D) T1598  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", A
https://attack.mitre.org/techniques/T1592/004,"According to the text, which of the following is NOT mentioned as a potential source of client configuration information for adversaries?",Internal network logs,Job postings,Network maps,Assessment reports,A,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: According to the text, which of the following is NOT mentioned as a potential source of client configuration information for adversaries?   Options:  A) Internal network logs  B) Job postings  C) Network maps  D) Assessment reports  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
https://attack.mitre.org/techniques/T1592/004,Which MITRE ATT&CK tactic is directly impacted by the adversary's ability to gather client configuration information?,Initial Access,Defense Evasion,Command and Control,Discovery,D,"You are a cybersecurity expert specializing in cyber threat intelligence. You are given a multiple-choice question (MCQ) from a Cyber Threat Intelligence (CTI) knowledge benchmark dataset. Your task is to choose the best option among the four provided. Return your answer as a single uppercase letter: A, B, C, or D.  Question: Which MITRE ATT&CK tactic is directly impacted by the adversary's ability to gather client configuration information?   Options:  A) Initial Access  B) Defense Evasion  C) Command and Control  D) Discovery  Important: The last line of your answer should contain only the single letter corresponding to the best option, with no additional text.", D
